problem_name,ptype,xtype,dim,mb,ml,mu,mcon,mlcon,mnlcon,m_ub,m_eq,m_linear_ub,m_linear_eq,m_nonlinear_ub,m_nonlinear_eq,f0,isfeasibility,isgrad,ishess,isjcub,isjceq,ishcub,ishceq,argins,dims,mbs,mls,mus,mcons,mlcons,mnlcons,m_ubs,m_eqs,m_linear_ubs,m_linear_eqs,m_nonlinear_ubs,m_nonlinear_eqs,f0s
10FOLDTR,n,r,1000,0,0,0,1000,998,2,0,1000,0,998,0,2,0.0,0,1,1,1,1,1,1,,,,,,,,,,,,,,,
3PK,b,r,30,30,30,0,0,0,0,0,0,0,0,0,0,20236.53853013773,0,1,1,1,1,1,1,,,,,,,,,,,,,,,
A0NSDSDS,l,r,2504,1000,1000,0,2004,2004,0,0,2004,0,2004,0,0,0.0,0,1,1,1,1,1,1,,,,,,,,,,,,,,,
A4X12,n,r,115,0,0,0,385,193,192,384,1,192,1,192,0,0.0,0,1,1,1,1,1,1,,,,,,,,,,,,,,,
A5NSDSDM,l,r,2504,1000,1000,0,2004,2004,0,0,2004,0,2004,0,0,0.0,0,1,1,1,1,1,1,,,,,,,,,,,,,,,
A5NSSNSM,l,r,2504,1000,1000,0,2004,2004,0,0,2004,0,2004,0,0,0.0,0,1,1,1,1,1,1,,,,,,,,,,,,,,,
ACOPP118,n,r,344,452,226,226,608,0,608,372,236,0,0,372,236,131321.990723608,0,1,1,1,1,1,1,,,,,,,,,,,,,,,
ACOPP14,n,r,38,48,24,24,68,0,68,40,28,0,0,40,28,8172.002165968,0,1,1,1,1,1,1,,,,,,,,,,,,,,,
ACOPP30,n,r,72,84,42,42,142,0,142,82,60,0,0,82,60,586.174499154,0,1,1,1,1,1,1,,,,,,,,,,,,,,,
ACOPP300,n,r,738,876,438,438,1422,0,1422,822,600,0,0,822,600,704382.8796522378,0,1,1,1,1,1,1,,,,,,,,,,,,,,,
ACOPP57,n,r,128,142,71,71,274,0,274,160,114,0,0,160,114,27866.998594195,0,1,1,1,1,1,1,,,,,,,,,,,,,,,
ACOPR118,n,r,344,216,108,108,844,0,844,608,236,0,0,608,236,131321.990723608,0,1,1,1,1,1,1,,,,,,,,,,,,,,,
ACOPR14,n,r,38,20,10,10,96,0,96,68,28,0,0,68,28,8172.002165968,0,1,1,1,1,1,1,,,,,,,,,,,,,,,
ACOPR30,n,r,72,24,12,12,202,0,202,142,60,0,0,142,60,586.174499154,0,1,1,1,1,1,1,,,,,,,,,,,,,,,
ACOPR300,n,r,738,276,138,138,2022,0,2022,1422,600,0,0,1422,600,704382.8796522378,0,1,1,1,1,1,1,,,,,,,,,,,,,,,
ACOPR57,n,r,128,28,14,14,388,0,388,274,114,0,0,274,114,27866.998594195,0,1,1,1,1,1,1,,,,,,,,,,,,,,,
AGG,l,r,163,163,163,0,488,488,0,452,36,452,36,0,0,0.0,0,1,1,1,1,1,1,,,,,,,,,,,,,,,
AIRCRFTB,u,r,5,0,0,0,0,0,0,0,0,0,0,0,0,23.0279247241,0,1,1,1,1,1,1,,,,,,,,,,,,,,,
AIRPORT,n,r,84,168,84,84,42,0,42,42,0,0,0,42,0,0.0,0,1,1,1,1,1,1,,,,,,,,,,,,,,,
AKIVA,u,r,2,0,0,0,0,0,0,0,0,0,0,0,0,14.556090791758852,0,1,1,1,1,1,1,,,,,,,,,,,,,,,
ALJAZZAF,n,r,1000,1000,1000,0,1,0,1,0,1,0,0,0,1,49929.999999944026,0,1,1,1,1,1,1,"{'N':3,'N1':2}{'N':3,'N1':50}{'N':3,'N1':500}{'N':3,'N1':5000}{'N':100,'N1':2}{'N':100,'N1':50}{'N':100,'N1':500}{'N':100,'N1':5000}{'N':1000,'N1':2}{'N':1000,'N1':50}{'N':1000,'N1':5000}{'N':10000,'N1':2}{'N':10000,'N1':50}{'N':10000,'N1':500}{'N':10000,'N1':5000}",3 50 500 5000 100 100 500 5000 1000 1000 5000 10000 10000 10000 10000,3 50 500 5000 100 100 500 5000 1000 1000 5000 10000 10000 10000 10000,3 50 500 5000 100 100 500 5000 1000 1000 5000 10000 10000 10000 10000,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,75.015 75.015 75.015 75.015 4925.500000000002 4925.500000000002 4925.500000000002 4925.500000000002 49929.999999944026 49929.999999944026 49929.999999944026 499975.00000000006 499975.00000000006 499975.00000000006 499975.00000000006
ALLINIT,b,r,3,3,2,1,0,0,0,0,0,0,0,0,0,29.75269412895701,0,1,1,1,1,1,1,,,,,,,,,,,,,,,
ALLINITA,n,r,3,3,2,1,4,2,2,2,2,1,1,1,1,29.75269412895701,0,1,1,1,1,1,1,,,,,,,,,,,,,,,
ALLINITC,n,r,3,3,2,1,1,0,1,0,1,0,0,0,1,29.75269412895701,0,1,1,1,1,1,1,,,,,,,,,,,,,,,
ALLINITU,u,r,4,0,0,0,0,0,0,0,0,0,0,0,0,13.0,0,1,1,1,1,1,1,,,,,,,,,,,,,,,
ALSOTAME,n,r,2,4,2,2,1,0,1,0,1,0,0,0,1,1.0,0,1,1,1,1,1,1,,,,,,,,,,,,,,,
